party,predicted_share,lo,hi
LINKE,23.1,22.7,23.2
AFD,21.3,21.2,21.4
CDU,18.5,18.4,18.8
GRUENE,14.5,14.5,14.7
SPD,11.0,10.9,11.3
Sonstige,10.5,10.4,10.6
FDP,2.9,2.9,3.0
