party,predicted_share,lo,hi
CDU,23.2,22.6,23.3
GRUENE,19.4,19.3,19.5
LINKE,16.8,16.7,17.1
SPD,12.4,12.2,12.4
AFD,11.4,11.2,11.6
Sonstige,10.1,10.0,10.2
FDP,3.7,3.5,3.8
