party,predicted_share,lo,hi
LINKE,21.1,21.1,21.2
CDU,20.2,20.1,20.3
AFD,16.9,16.8,16.9
GRUENE,15.6,15.6,15.7
SPD,12.0,12.0,12.1
Sonstige,10.3,10.3,10.3
FDP,3.3,3.2,3.3
